"species","lower","upper"
"Motacilla cinerea",16.9212601688479,17.4894796100114
"Chrysococcyx russatus",12.6500767513018,13.8740663403189
"Macronectes giganteus",11.0490953166766,12.2368556279402
"Phalacrocorax purpurascens",7.13984040255209,7.72398216842015
"Festucalex gibbsi",7.8169017232552,7.97005390409382
"Hippichthys penicillus",8.9872397418304,9.25480030581172
"Corythoichthys haematopterus",7.00220981493852,7.18836526674194
"Dunckerocampus dactyliophorus",15.6594667782001,16.9908476153114
"Hippocampus abdominalis",5.03077574710047,5.77533255407136
"Hippocampus minotaur",8.55647405342225,8.65613375880176
"Aipysurus duboisii",16.0588152789202,16.2731273753236
"Lobodon carcinophagus",11.2699493677178,11.9046392726277
"Ptilinopus superbus",15.832469130262,16.5866907812603
"Dunckerocampus pessuliferus",11.1718895535936,11.6150203803259
"Pterodroma arminjoniana",7.21499700618111,7.5577506570055
"Procelsterna cerulea",13.3058591481934,13.9747983548523
"Puffinus bulleri",9.58563781184649,10.3610971757231
"Choeroichthys suillus",18.3184855576363,18.5697728106289
"Thalassarche steadi",12.524237186371,13.045321342697
"Gorsachius melanolophus",15.7716103815046,16.139602614241
"Calonectris leucomelas",12.5896785243049,13.1820715571238
"Micrognathus natans",15.1772029437705,16.3713337467994
"Gallinago megala",14.6148319431592,16.5765415860236
"Fregata andrewsi",8.00111006834347,9.15785052918947
"Thalassarche chrysostoma",11.6227866480735,12.0437408039588
"Lepidochelys olivacea",11.6487793167558,12.6991883715546
"Stipecampus cristatus",11.9994193682819,12.5982142369782
"Larus pacificus",7.28982442103472,7.63287326862712
"Hippocampus angustus",15.5821178038555,15.9178946209041
"Hydrophis pacificus",7.14643972501864,7.49763414876447
"Mitotichthys tuckeri",15.2483015002827,15.531124419952
"Porphyrio porphyrio",7.83453473134725,8.45734872400321
"Hydrophis ornatus",19.0295723009624,19.6600771039566
"Stigmatopora olivacea",13.3666281088029,14.2056730455788
"Microphis manadenis",13.9711840268163,14.97714983343
