"Numenius madagascariensis"
"Pachyptila crassirostris"
"Xenus cinereus"
"Noticampus ruber"
"Charadrius mongolus"
"Threskiornis molucca"
"Anseranas semipalmata"
"Eretmochelys imbricata"
"Puffinus pacificus"
"Thalassarche cauta"
"Leptonychotes weddellii"
"Ardea intermedia"
"Numenius arquata"
"Disteira major"
"Stercorarius longicaudus"
"Pterodroma inexpectata"
"Corythoichthys ocellatus"
"Phylloscopus borealis"
"Acrocephalus orientalis"
"Hydrophis ornatus"
"Hippocampus breviceps"
"Eurystomus orientalis"
"Neophoca cinerea"
"Calidris alba"
"Myiagra cyanoleuca"
"Pelecanoides urinatrix"
"Cuculus pallidus"
"Pachyptila belcheri"
"Catharacta skua"
"Solegnathus guentheri"
"Anous stolidus"
"Trachyrhamphus longirostris"
"Larus dominicanus"
"Puffinus bulleri"
"Choeroichthys sculptus"
