"Porzana tabuensis"
"Chelonia mydas"
"Hydrurga leptonyx"
"Filicampus tigris"
"Microphis manadenis"
"Sula leucogaster"
"Corythoichthys schultzi"
"Crocodylus johnstoni"
"Anous minutus"
"Aipysurus fuscus"
"Solenostomus paradoxus"
"Hippichthys heptagonus"
"Corvus tasmanicus"
"Aipysurus duboisii"
"Ducula concinna"
"Catharacta skua"
"Phycocedrus eque s"
"Arctocephalus pusillus doriferus"
"Calidris tenuirostris"
"Hippocampus breviceps"
"Acalyptophis peronii"
"Anthus cervinus"
"Dunckerocampus dactyliophorus"
"Solenostomus paegnius"
"Vanacampus vercoi"
"Thinornis rubricollis"
"Motacilla citreola"
"Corythoichthys ocellatus"
"Maroubra perserrata"
"Sterna nilotica"
"Eudyptes pachyrhynchus"
"Puffinus tenuirostris"
"Puffinus puffinus"
"Egretta garzetta"
"Solenostomus cyanopterus"
