"species","lower","upper"
"Micrognathus micronotopterus",13.0605209865198,13.2717324945403
"Mitotichthys mollisoni",16.2554504891452,16.926205483584
"Monarcha trivirgatus",11.8544851322822,12.312223176069
"Halicampus spinirostris",19.4181169078429,20.3220567899668
"Manucodia keraudrenii",10.5574719604271,11.3586715238468
"Thalassarche carteri",11.6678770879525,12.4602962346977
"Anous minutus",6.74887770356839,7.62548328711424
"Hirundapus caudacutus",22.035213045956,23.7452916071063
"Sterna paradisaea",8.71458045423615,10.1004572511837
"Sterna caspia",11.7493642044016,11.8921654537803
"Fregata ariel",7.01751198805521,7.63931094772004
"Phalacrocorax fuscescens",13.2044246236943,13.9796075537501
"Choeroichthys cinctus",12.2251580005814,13.6592955424419
"Campichthys tricarinatus",13.77182604667,14.0005136942211
"Eudynamys taitensis",19.1218388440892,19.5972413921113
"Todiramphus macleayii",11.0367703546899,11.8493762366472
"Thalassarche chrysostoma",6.22850018441409,7.02186048235039
"Micrognathus andersonii",16.6978891751302,17.2188553993143
"Pachyptila turtur",18.6830200867987,19.682585060436
"Emydocephalus schistosa",14.4387945709384,15.4215564450143
"Anas querquedula",13.9375466600137,14.8665594599142
"Larus novaehollandiae",8.00111006834347,9.15785052918947
"Aipysurus laevis",14.3598083525829,15.622203990084
"Eudyptes chrysocome",15.3224071321634,15.6860120693639
"Eudyptes chrysolophus",10.586524713934,11.1650723277328
"Procellaria cinerea",8.02628154071811,8.88498414428915
"Solenostomus cyanopterus",6.13239122236365,6.93425813275673
"Hippocampus kelloggi",6.18756277448894,6.72958904869973
"Puffinus puffinus",13.1057324411837,14.8000821827186
"Corythoichthys schultzi",21.0107476150199,22.0492796590099
"Crocodylus johnstoni",18.8229292130128,19.1979663148658
"Threskiornis aethiopica",11.0215878375231,11.1784339273197
"Esacus neglectus",14.8458239040411,15.0403269399019
"Pachyptila belcheri",10.0196956448982,10.4828983604646
"Eudyptes sclateri",17.4476197366746,18.584706685883
