"species","lower","upper"
"Halicampus grayi",10.6088707790589,11.7534752993504
"Festucalex cinctus",16.9212601688479,17.4894796100114
"Campichthys tricarinatus",14.5286440413812,15.4100167150788
"Thalassarche salvini",6.84086345867279,7.03892753071206
"Solegnathus spinossimus",19.4181169078429,20.3220567899668
"Parahydrophis mertoni",12.40573312631,12.6815238307594
"Todiramphus sanctus",7.07695591865538,7.62598991640155
"Limnodromus semipalmatus",11.3671715027627,11.5205736362757
"Larus novaehollandiae",12.0054699955712,12.1773301030005
"Hippocampus kelloggi",16.3658676687573,16.6247685636192
"Lugensa brevirostris",17.4191856608405,19.3466698231564
"Sterna striata",8.64943953215064,9.46442862714842
"Leptonychotes weddellii",22.035213045956,23.7452916071063
"Pachyptila salvini",6.77580193190976,7.25072627546929
"Steganopus tricolor",10.8333252486141,11.8216284413122
"Filicampus tigris",6.74606178736,7.19758539678042
"Aipysurus duboisii",15.533440194254,17.9348163614054
"Diomedea sanfordi",7.89666459416467,8.2932303232731
"Pluvialis squatarola",7.89347021409418,8.91216378959695
"Festucalex scalaris",5.74994025104154,6.03882396514723
"Ducula bicolor",15.0577876157356,15.1896925738299
"Fregetta tropica",13.6294427458689,13.9392255425833
"Hippichthys parvicarinatus",12.0383676799461,12.6638330338121
"Haliichthys taeniophorus",14.4410812474599,14.6896014889796
"Charadrius veredus",16.8607176912743,16.9036207431805
"Spheniscus magellanicus",13.5295785409993,14.4191319198671
"Vanacampus vercoi",8.77232506726746,8.91746057135781
"Halicampus boothae",19.2475456192054,20.0616003777159
"Phalaropus lobatus",8.84035847733852,10.0340186374812
"Macronectes halli",17.8440258000926,18.5102408035415
"Charadrius bicinctus",6.18756277448894,6.72958904869973
"Rhipidura rufifrons",17.4096083861852,18.3781978673099
"Acalyptophis peronii",10.7637266195084,10.9195074852434
"Puffinus tenuirostris",11.7287272732663,13.0202604200862
"Pugnaso curtirostris",11.4776575199509,11.7025818499247
