"Catharacta skua"
"Sterna striata"
"Eudyptes chrysocome"
"Calidris melanotos"
"Larus atricilla"
"Apus affinis"
"Circus approximans"
"Fregetta tropica"
"Sterna paradisaea"
"Diomedea antipodensis"
"Monarcha trivirgatus"
"Motacilla flava"
"Doryrhamphus janssi"
"Dicrurus bracteatus"
"Sterna bengalensis"
"Procellaria westlandica"
"Amaurornis olivaceus"
"Todiramphus sanctus"
"Hydrophis melanosoma"
"Hydrophis mcdowelli"
"Solenostomus paegnius"
"Eudynamys taitensis"
"Astrotia stokesii"
"Aipysurus laevis"
"Sterna hirundo"
"Garrodia nereis"
"Dunckerocampus pessuliferus"
"Pachyptila crassirostris"
"Anthus novaeseelandiae"
"Calidris mauri"
"Solenostomus armatus"
"Arctocephalus pusillus doriferus"
"Pterodroma mollis"
"Laticauda colubrina"
"Thalassarche melanophris"
