"species","lower","upper"
"Hypselognathus horridus",14.2635257464382,15.1393764199631
"Podargus papuensis",13.0605209865198,13.2717324945403
"Egretta garzetta",7.59930697423576,7.97405303242811
"Pluvialis squatarola",12.6500767513018,13.8740663403189
"Sula leucogaster",5.84963039204715,6.36498642747423
"Sterna nereis",6.30909989419848,6.90406597605472
"Thalassarche bulleri",16.6977385526637,17.065894983742
"Hippichthys penicillus",9.40278542007006,10.3482993488753
"Hydrophis ornatus",15.6594667782001,16.9908476153114
"Tanysiptera sylvia",7.52027214776238,8.59891282331901
"Pterodroma neglecta",16.0588152789202,16.2731273753236
"Macronectes halli",9.21247456315898,10.7314437539159
"Numenius minutus",7.01751198805521,7.63931094772004
"Solegnathus dunckeri",18.6130333303366,20.0146648834508
"Hippichthys heptagonus",8.28945117373768,9.19523048486178
"Diomedea epomophora",10.2216682452008,10.778074032323
"Disteira kingii",14.1543814989284,15.0401076765278
"Choeroichthys latispinosus",7.89347021409418,8.91216378959695
"Nannocampus subosseus",16.5505992230752,17.4154346758542
"Sterna albifrons",15.256251808034,15.6328550333464
"Campichthys tryoni",10.4198650765645,11.1349393482715
"Puffinus griseus",7.15313546096216,8.03876674553492
"Larus sabini",6.57380720267134,7.08452217515081
"Mitotichthys mollisoni",14.7713367817653,15.9824306457315
"Calidris minuta",11.1251171098609,11.2867404048746
"Chlidonias hybridus",15.3645468987293,16.4991383807125
"Aipysurus laevis",8.92243949837452,10.186696962274
"Arctocephalus tropicalus",17.8440258000926,18.5102408035415
"Aipysurus eydouxii",11.2631689761646,11.5946472224524
"Choeroichthys sculptus",10.4496059681567,10.8500818753406
"Solenostomus paegnius",11.2337322823237,12.0286560335593
"Dunckerocampus dactyliophorus",9.64037755986293,10.3290289912977
"Raillus philippensis",18.8229292130128,19.1979663148658
"Eudynamys taitensis",13.4967333099616,14.9153488214737
"Fulmarus glacialoides",17.9301126283823,18.5356198092036
