"species","lower","upper"
"Porphyrio porphyrio",12.2035774418033,12.9814944771652
"Lissocampus caudalis",14.3044378984584,14.6665955375037
"Spheniscus magellanicus",13.444044844425,13.9399834064563
"Eudyptes sclateri",10.2044270086158,10.4733120220208
"Sterna striata",5.69040507709551,6.29920897868249
"Neophema chrysogaster",12.0054699955712,12.1773301030005
"Todiramphus macleayii",12.4847636887371,12.8049525414406
"Doryrhamphus malus",8.42170370285507,8.69870183044034
"Monarcha trivirgatus",12.5049374936354,12.9698759925872
"Puffinus pacificus",18.6130333303366,20.0146648834508
"Heteroscelus incanus",16.6229402529274,17.4598985018485
"Caretta caretta",11.0367703546899,11.8493762366472
"Phycocedrus eque s",15.533440194254,17.9348163614054
"Steganopus tricolor",22.8283436567486,24.1596656538356
"Tringa totanus",12.0383676799461,12.6638330338121
"Ardea intermedia",17.8761007303427,19.1646790152585
"Histiogamphelus briggsi",8.60396911021278,9.73194577781325
"Garrodia nereis",13.4250092521377,14.0060491757218
"Haliastur sphenurus",12.3034266591712,12.9746721161921
"Sterna fuscata",4.79279575329013,5.82857088874069
"Hydrophis mcdowelli",15.5821178038555,15.9178946209041
"Idiotropiscis larsonae",6.87236919304432,7.74371162726879
"Eretmochelys imbricata",8.77232506726746,8.91746057135781
"Sterna anaethetus",13.5514202258324,14.2426994197303
"Neophema chrysostoma",16.4643986117515,17.3711107205857
"Catharacta skua",16.3973292882584,16.5148816159181
"Charadrius hiaticula",15.0898834426138,15.546979157478
"Chelonia mydas",17.5486547276733,18.2723187501784
"Pelagodroma marina",19.8080923898731,20.9469394905312
"Nycticorax nycticorax",9.64037755986293,10.3290289912977
"Halicampus boothae",17.4096083861852,18.3781978673099
"Thalassarche salvini",15.6096446060521,15.7526254338431
"Sterna nereis",16.0961294973777,16.9505460444187
"Sterna dougallii",14.8458239040411,15.0403269399019
"Nannocampus subosseus",10.0196956448982,10.4828983604646
