"species","lower","upper"
"Xenus cinereus",18.457030663324,18.6880530967079
"Threskiornis aethiopica",12.5370127027255,13.4251258165882
"Vanacampus margaritifer",8.96930150166393,9.20550180182821
"Calidris mauri",7.00220981493852,7.18836526674194
"Corythoichthys conspicillatus",9.60358393107706,9.76585502602965
"Syngnathoides biaculeatus",17.5029898965052,17.9261357733435
"Fregata ariel",9.55681637238772,9.8897391463605
"Oceanodroma leucorhoa",8.088822093279,8.87009808986715
"Philomachus pugnax",7.51379281820185,8.57416407239293
"Monarcha frater",6.98032613734966,7.35733359613671
"Charadrius ruficapillus",6.74750881937061,6.99161475861243
"Stercorarius parasiticus",8.00111006834347,9.15785052918947
"Porzana tabuensis",12.0383676799461,12.6638330338121
"Ardea intermedia",16.9259228292004,17.4456482051162
"Pterodroma cookii",15.3224071321634,15.6860120693639
"Corythoichthys haematopterus",7.1333510680471,7.3079604100465
"Thalassarche salvini",13.4250092521377,14.0060491757218
"Hirundapus caudacutus",10.586524713934,11.1650723277328
"Hydrophasianus chirurgus",7.251054227494,7.61363695354412
"Larus crassirostris",15.5821178038555,15.9178946209041
"Fregata minor",9.04957693692872,9.47384384854028
"Sterna bergii",12.9495992554152,13.9392260824741
"Solenostomus paradoxus",14.7298047281327,14.919863466489
"Motacilla alba",13.1311119427161,13.8440457689109
"Calidris ferruginea",12.3729747971951,12.9000500030325
"Thalassarche chrysostoma",17.9924790041731,18.2396724084641
"Porphyrio porphyrio",7.38009869710692,7.93087007468093
"Petroica phoenicea",13.2495774507504,13.9926236828518
"Nettapus pulchellus",5.43778908980758,6.25555151111248
"Ephalophis greyi",16.9019003400393,18.3059093840992
"Arenaria interpres",8.56172304465973,9.13501684846461
"Sterna bengalensis",11.0215878375231,11.1784339273197
"Eudyptula minor",18.2747769154298,19.5772865426482
"Procellaria westlandica",16.1295305574774,17.2607131338565
"Disteira major",7.5563132353048,8.32518353123045
