"Phoebetria palpebrata"
"Corvus tasmanicus"
"Class Aves"
"Hydrophasianus chirurgus"
"Doryrhamphus malus"
"Laticauda laticaudata"
"Puffinus tenuirostris"
"Lissocampus fatiloquus"
"Choeroichthys cinctus"
"Fregata andrewsi"
"Anseranas semipalmata"
"Solenostomus cyanopterus"
"Sterna vittata"
"Garrodia nereis"
"Hydrophis pacificus"
"Chlidonias leucopterus"
"Ptilinopus superbus"
"Steganopus tricolor"
"Ducula bicolor"
"Diomedea antipodensis"
"Bulbonaricus brauni"
"Festucalex scalaris"
"Aptenodytes patagonicus"
"Puffinus griseus"
"Filicampus tigris"
"Vanacampus poecilolaemus"
"Motacilla flava"
"Thalassarche bulleri"
"Ducula concinna"
"Tringa totanus"
"Nettapus pulchellus"
"Halicampus grayi"
"Pterodroma arminjoniana"
"Pelagodroma marina"
"Doryrhamphus janssi"
