"species","lower","upper"
"Rhipidura rufifrons",14.1200903142735,14.4715711015593
"Larus ridibundus",14.5286440413812,15.4100167150788
"Chlidonias hybridus",5.84963039204715,6.36498642747423
"Halicampus macrorhynchus",11.1368817624424,11.550229320151
"Nannocampus pictus",10.2044270086158,10.4733120220208
"Pterodroma cookii",12.40573312631,12.6815238307594
"Calidris subminuta",12.0054699955712,12.1773301030005
"Mitotichthys semistriatus",12.2536120294205,13.9324626505869
"Pterodroma lessonii",16.0588152789202,16.2731273753236
"Stigmatopora olivacea",7.21499700618111,7.5577506570055
"Halicampus boothae",12.2028340938744,12.5194053630629
"Procellaria parkinsoni",15.0238564896819,15.4785991864229
"Puffinus bulleri",7.35314403662103,8.09603190774942
"Dendrocygna arcuata",18.3184855576363,18.5697728106289
"Monarcha trivirgatus",15.1052481214368,15.3662342637276
"Threskiornis aethiopica",13.2044246236943,13.9796075537501
"Ommatophoca rossii",10.839694621091,12.4652349097334
"Pitta erythrogaster",11.0367703546899,11.8493762366472
"Eretmochelys imbricata",7.87870723602073,8.77997949105095
"Pluvialis fulva",19.8429846865292,20.6118369867115
"Parahydrophis mertoni",6.74750881937061,6.99161475861243
"Festucalex cinctus",16.6724773383115,17.9734155281006
"Petroica rodinogaster",14.6148319431592,16.5765415860236
"Solenostomus cyanopterus",10.586524713934,11.1650723277328
"Eudyptes sclateri",15.3172672226831,15.6495420175915
"Apus affinis",13.7479321905266,14.8968387028581
"Daption capense",11.2631689761646,11.5946472224524
"Myiagra cyanoleuca",7.97590118081786,9.0119462041968
"Microphis brachyurus",11.7435619200605,12.635595460316
"Lapemis hardwickii",8.09709719861397,8.38549867087361
"Solenostomus armatus",19.9698355125149,21.0752089441486
"Ninox novaeseelandiae",13.110848739168,13.9269085374221
"Micrognathus natans",10.0196956448982,10.4828983604646
"Hippichthys penicillus",19.3708602495373,19.579367225131
"Arctocephalus tropicalus",11.4776575199509,11.7025818499247
