"species","lower","upper"
"Parahydrophis mertoni",7.53738966215706,8.011636042565
"Phyllopteryx taeniolatus",19.4415486561873,21.117213358754
"Hippocampus angustus",12.5370127027255,13.4251258165882
"Acentronura breviperula",14.5286440413812,15.4100167150788
"Aipysurus fuscus",6.84086345867279,7.03892753071206
"Calidris melanotos",7.8169017232552,7.97005390409382
"Calidris canutus",9.15871466089224,9.29818002321572
"Lissocampus caudalis",12.40573312631,12.6815238307594
"Festucalex cinctus",12.2536120294205,13.9324626505869
"Pseudobulweria rostrata",17.4191856608405,19.3466698231564
"Leptonychotes weddellii",15.832469130262,16.5866907812603
"Solegnathus robustus",9.26725701405834,10.5983766830808
"Astrotia stokesii",12.5049374936354,12.9698759925872
"Solenostomus leptosomus",8.71458045423615,10.1004572511837
"Histiogamphelus cristatus",13.3058591481934,13.9747983548523
"Ephalophis greyi",15.8828529180025,17.2678556522503
"Calidris mauri",14.0708983626898,15.0052429759761
"Monarcha trivirgatus",16.2710270371669,16.6641056801476
"Microphis manadenis",9.01507205431925,9.68133056095754
"Calidris acuminata",5.13593529699464,5.85904103417102
"Thalassarche impavida",15.0272677306784,16.3793246023804
"Dicrurus bracteatus",7.79471618154195,8.44952172634347
"Phalacrocorax nivalis",7.14988899767995,7.67618320106135
"Micrognathus andersonii",9.13169933389454,9.62738136899141
"Urocampus carinirostris",19.3996424978303,20.1454001511192
"Larus novaehollandiae",4.96134082515315,5.30952078336154
"Circus approximans",12.9952782373744,14.1780804860992
"Haliichthys taeniophorus",9.54329664060491,9.92367757927064
"Amaurornis olivaceus",14.7298047281327,14.919863466489
"Halicampus macrorhynchus",10.9147785561074,11.2383331681867
"Anseranas semipalmata",8.02628154071811,8.88498414428915
"Pluvialis dominica",14.4002047941085,15.3481398018017
"Lepidochelys olivacea",6.18756277448894,6.72958904869973
"Esacus neglectus",15.7988955242489,16.7571089435412
"Pelecanoides georgicus",10.0196956448982,10.4828983604646
