"species","lower","upper"
"Mitotichthys meraculus",6.61801539826061,6.7026993531156
"Pygoscelis adeliae",7.59930697423576,7.97405303242811
"Thalassarche chrysostoma",10.9463309268251,12.1399100482076
"Diomedea amsterdamensis",12.2536120294205,13.9324626505869
"Cuculus saturatus",10.1629381223923,11.0311443416514
"Trachyrhamphus bicoarcticus",8.64943953215064,9.46442862714842
"Corvus mellori",17.130174350305,18.1251603714275
"Halicampus macrorhynchus",11.4861287182934,11.9646698570052
"Chrysococcyx osculans",18.0874744785399,19.4494042349654
"Porzana tabuensis",5.20927873315158,5.5609921619917
"Motacilla citreola",6.74606178736,7.19758539678042
"Fregata ariel",5.13593529699464,5.85904103417102
"Plegadis falcinellus",15.0874904775499,15.1561079424071
"Hippichthys cyanospilos",15.533440194254,17.9348163614054
"Charadrius hiaticula",16.6978891751302,17.2188553993143
"Stercorarius parasiticus",14.5061953890766,15.6253892087462
"Limnodromus semipalmatus",12.0525164948831,12.6236811487366
"Aipysurus tenuis",8.00111006834347,9.15785052918947
"Egretta garzetta",19.8527715070897,20.2558193281134
"Pachyptila turtur",15.3224071321634,15.6860120693639
"Ardea alba",14.6432260365899,15.7585071515326
"Hippichthys parvicarinatus",14.7713367817653,15.9824306457315
"Sterna vittata",16.0155988784822,16.7501948571188
"Calidris tenuirostris",7.251054227494,7.61363695354412
"Leptoichthys fistularius",10.9147785561074,11.2383331681867
"Chrysococcyx lucidus",12.5635493712651,13.7292876510376
"Anseranas semipalmata",16.8607176912743,16.9036207431805
"Spheniscus magellanicus",16.4643986117515,17.3711107205857
"Disteira kingii",5.43778908980758,6.25555151111248
"Pterodroma mollis",12.275574225373,12.7806575703458
"Halicampus brocki",14.289013174441,15.2258051086847
"Vanacampus phillipi",13.6510995250131,13.8723268125074
"Vanacampus vercoi",11.2051261237172,12.0210941568239
"Calidris melanotos",5.20200922105152,5.8219016749819
"Sula sula",8.89559096113552,9.39850423396321
