"species","lower","upper"
"Eurystomus orientalis",12.2035774418033,12.9814944771652
"Halicampus grayi",9.15871466089224,9.29818002321572
"Procellaria westlandica",6.30909989419848,6.90406597605472
"Manucodia keraudrenii",8.05889219314287,8.91573571365844
"Pterodroma arminjoniana",12.0054699955712,12.1773301030005
"Anas clypeata",16.3658676687573,16.6247685636192
"Ninox novaeseelandiae",9.21247456315898,10.7314437539159
"Hypselognathus horridus",7.18145927544643,7.50878499758562
"Procellaria cinerea",18.6130333303366,20.0146648834508
"Campichthys tryoni",15.8828529180025,17.2678556522503
"Anous stolidus",10.8333252486141,11.8216284413122
"Pygoscelis antarctica",5.20927873315158,5.5609921619917
"Vanacampus phillipi",13.0004838876422,14.0865746377267
"Phyllopteryx taeniolatus",9.46199225162878,9.76083249412421
"Cosmocampus howensis",9.08936113620051,9.88666482664802
"Sula dactylatra",14.6623178625861,14.9039726027846
"Lissocampus runa",18.6830200867987,19.682585060436
"Pachyptila vittata",6.98032613734966,7.35733359613671
"Calidris bairdii",15.1772029437705,16.3713337467994
"Calidris subminuta",9.18364345333029,9.97100322176916
"Hydrophis mcdowelli",8.96006974607664,9.6581077286013
"Sterna fuscata",14.932168716769,15.146217305405
"Philomachus pugnax",9.58277547216797,9.69149718744823
"Phalacrocorax nivalis",9.13169933389454,9.62738136899141
"Nannocampus subosseus",12.3145444251314,13.2926262388919
"Procellaria aequinoctialis",15.3172672226831,15.6495420175915
"Acentronura breviperula",5.54410635106043,5.9696003109455
"Pluvialis dominica",13.1311119427161,13.8440457689109
"Halicampus boothae",16.4643986117515,17.3711107205857
"Solegnathus spinossimus",14.4002047941085,15.3481398018017
"Pterodroma leucoptera",11.602007225945,12.3813499866214
"Limosa limosa",19.8080923898731,20.9469394905312
"Papasula abbotti",11.7435619200605,12.635595460316
"Diomedea antipodensis",16.1105242575473,16.6916169929568
"Charadrius hiaticula",17.4476197366746,18.584706685883
