"species","lower","upper"
"Biziura lobata",11.0490953166766,12.2368556279402
"Histiogamphelus briggsi",14.1200903142735,14.4715711015593
"Campichthys galei",5.9747658278108,6.51560926805275
"Pelecanoides urinatrix",10.2119376984189,10.7593136935368
"Lapemis hardwickii",10.3971298017894,10.8256089581195
"Corythoichthys ocellatus",5.69040507709551,6.29920897868249
"Recurvirostra novaehollandiae",16.0588152789202,16.2731273753236
"Arctocephalus gazella",12.4847636887371,12.8049525414406
"Macronectes halli",13.9680706308468,14.3826386536658
"Apus affinis",16.6229402529274,17.4598985018485
"Catharacta skua",17.9271169919937,19.3289879400654
"Heteroscelus incanus",5.84460916550818,6.44326687975232
"Doryrhamphus malus",13.3469886213898,14.6139328585611
"Oceanodroma leucorhoa",13.442306071572,13.8692509746324
"Calidris bairdii",7.89347021409418,8.91216378959695
"Chlidonias leucopterus",18.9744882446818,20.3084012956009
"Chlidonias hybridus",13.6294427458689,13.9392255425833
"Sterna bengalensis",10.4821587568894,10.8843350793893
"Anous tenuirostris",16.9259228292004,17.4456482051162
"Bulweria bulwerii",13.0366713591618,14.2172924574739
"Hippichthys penicillus",12.3145444251314,13.2926262388919
"Hydrophis pacificus",6.87236919304432,7.74371162726879
"Sterna dougallii",16.8607176912743,16.9036207431805
"Diomedea sanfordi",17.187037584686,17.374358207495
"Lissocampus fatiloquus",14.4002047941085,15.3481398018017
"Phycocedrus eque s",6.46988077695745,6.71541846901886
"Rhipidura rufifrons",16.3973292882584,16.5148816159181
"Eudyptes robustus",11.2631689761646,11.5946472224524
"Sterna vittata",11.304687256515,12.6523840235926
"Trachyrhamphus longirostris",16.9019003400393,18.3059093840992
"Limnodromus semipalmatus",13.1057324411837,14.8000821827186
"Phoebetria palpebrata",17.5486547276733,18.2723187501784
"Nycticorax caledonicus",12.275574225373,12.7806575703458
"Sterna caspia",8.09709719861397,8.38549867087361
"Pluvialis dominica",11.4776575199509,11.7025818499247
