"Vanacampus poecilolaemus"
"Arctocephalus gazella"
"Sterna anaethetus"
"Himantopus himantopus"
"Nycticorax nycticorax"
"Numenius minutus"
"Hirundo nigricans"
"Phoebetria palpebrata"
"Larus pacificus"
"Hirundo neoxena"
"Solenostomus paradoxus"
"Doryrhamphus melanopleura"
"Pterodroma cookii"
"Puffinus carneipes"
"Hippocampus spinosissimus"
"Haliastur indus"
"Thalassoica antarctica"
"Diomedea dabbenena"
"Eurostopodus mystacalis"
"Aipysurus tenuis"
"Phalaropus lobatus"
"Oceanodroma leucorhoa"
"Pterodroma incerta"
"Microphis manadenis"
"Hippocampus zebra"
"Sula dactylatra"
"Sterna sumatrana"
"Charadrius ruficapillus"
"Disteira kingii"
"Egretta garzetta"
"Hydrophis belcheri"
"Nannocampus subosseus"
"Larus dominicanus"
"Dunckerocampus dactyliophorus"
"Aipysurus duboisii"
