"Filicampus tigris"
"Leptonychotes weddellii"
"Apus pacificus"
"Sterna striata"
"Calidris alpina"
"Pelamis platurus"
"Eudyptes chrysolophus"
"Pagodroma nivea"
"Phoxocampus diacanthus"
"Chrysococcyx minutillus"
"Charadrius leschenaultii"
"Ommatophoca rossii"
"Coturnix pectoralis"
"Pygoscelis papua"
"Thalassarche nov. sp."
"Pterodroma inexpectata"
"Stercorarius longicaudus"
"Acrocephalus stentoreus"
"Hypselognathus horridus"
"Lugensa brevirostris"
"Thinornis rubricollis"
"Catharacta maccormicki"
"Himantopus himantopus"
"Pitta versicolor"
"Sterna nilotica"
"Threskiornis aethiopica"
"Hippichthys spicifer"
"Limosa lapponica"
"Monarcha trivirgatus"
"Calidris subminuta"
"Larus dominicanus"
"Fregetta tropica"
"Diomedea dabbenena"
"Anas acuta"
"Hippocampus fisheri"
