"species","lower","upper"
"Solegnathus spinossimus",7.59930697423576,7.97405303242811
"Larus crassirostris",14.5286440413812,15.4100167150788
"Microphis manadenis",19.1281259102937,19.2683577223337
"Nycticorax caledonicus",11.1368817624424,11.550229320151
"Choeroichthys sculptus",19.1384459985837,19.9054849585695
"Heraldia nocturna",19.4181169078429,20.3220567899668
"Phycocedrus eque s",16.6977385526637,17.065894983742
"Chrysococcyx osculans",9.40278542007006,10.3482993488753
"Hippocampus whitei",10.3971298017894,10.8256089581195
"Choeroichthys latispinosus",5.69040507709551,6.29920897868249
"Natator depressus",8.88721252152102,9.14908004832826
"Raillus philippensis",16.1595659215365,16.6035587867915
"Campichthys tricarinatus",8.97890334772204,9.2674366849399
"Ommatophoca rossii",4.42592104189183,4.68438185863856
"Anthus cervinus",13.3058591481934,13.9747983548523
"Eurostopodus mystacalis",15.9133694088396,16.2817870709018
"Parahydrophis mertoni",16.6229402529274,17.4598985018485
"Disteira kingii",10.8333252486141,11.8216284413122
"Tringa totanus",7.3408852438627,8.11068784591256
"Corythoichthys ocellatus",18.6830200867987,19.682585060436
"Stigmatopora nigra",13.3897112575348,13.4736059209496
"Doryrhamphus melanopleura",15.3224071321634,15.6860120693639
"Doryrhamphus malus",13.0366713591618,14.2172924574739
"Lathamus discolor",11.1251171098609,11.2867404048746
"Coracina papuensis",13.2209096667041,14.5029365452281
"Procellaria cinerea",13.5514202258324,14.2426994197303
"Pluvialis fulva",13.7479321905266,14.8968387028581
"Motacilla cinerea",13.2495774507504,13.9926236828518
"Larus dominicanus",10.360628206638,11.5500755697445
"Limicola falcinellus",10.4619072198772,10.6246474077723
"Laticauda colubrina",13.6510995250131,13.8723268125074
"Fregata ariel",14.4362573297214,14.9519822112408
"Phoxocampus diacanthus",6.34995903719129,6.8008692355164
"Puffinus lherminieri",18.1511737843847,19.8346781173193
"Hippocampus trimaculatus",13.9711840268163,14.97714983343
