"species","lower","upper"
"Stercorarius pomarinus",13.0605209865198,13.2717324945403
"Mirounga leonina",20.1090707520813,20.8432296016678
"Aipysurus laevis",9.71844102419714,9.83501265876475
"Vanacampus vercoi",19.0662536956424,19.1874258950185
"Diomedea antipodensis",7.13984040255209,7.72398216842015
"Plegadis falcinellus",9.40726202824875,10.2967246039952
"Filicampus tigris",10.5574719604271,11.3586715238468
"Lugensa brevirostris",7.00220981493852,7.18836526674194
"Hippichthys heptagonus",11.3671715027627,11.5205736362757
"Cereopsis novaehollandiae",10.9463309268251,12.1399100482076
"Pygoscelis papua",7.52027214776238,8.59891282331901
"Manucodia keraudrenii",8.97890334772204,9.2674366849399
"Solegnathus robustus",14.0708983626898,15.0052429759761
"Hydrophis belcheri",18.3184855576363,18.5697728106289
"Eurostopodus mystacalis",6.74606178736,7.19758539678042
"Gallinago stenura",16.1046431666111,17.0380283252136
"Arctocephalus pusillus doriferus",15.0545084144537,15.9016897322886
"Corythoichthys haematopterus",11.0367703546899,11.8493762366472
"Lobodon carcinophagus",11.3656977910881,12.0290729290875
"Choeroichthys cinctus",7.89666459416467,8.2932303232731
"Pterodroma arminjoniana",15.1772029437705,16.3713337467994
"Halicampus brocki",8.96006974607664,9.6581077286013
"Hydrophis elegans",14.0207103055078,14.9675492494377
"Accipiter fasciatus",16.0910673333435,17.1132545651967
"Gygis alba",16.0155988784822,16.7501948571188
"Corvus mellori",12.77728181882,13.9282408903174
"Stigmatopora olivacea",7.14643972501864,7.49763414876447
"Phoebetria fusca",14.3308049802358,14.8330633827257
"Diomedea exulans",12.6671607013041,13.359898183522
"Merops ornatus",9.08511534343904,9.9329406861923
"Hippocampus trimaculatus",17.5486547276733,18.2723187501784
"Gallinago megala",14.4362573297214,14.9519822112408
"Sterna dougallii",6.61777443791609,7.27799246573835
"Tadorna radjah",17.4476197366746,18.584706685883
"Eudyptes sclateri",5.20200922105152,5.8219016749819
