"Puffinus lherminieri"
"Hippocampus trimaculatus"
"Sterna striata"
"Phoebetria fusca"
"Tanysiptera sylvia"
"Eudyptes sclateri"
"Larus dominicanus"
"Doryrhamphus melanopleura"
"Micrognathus pygmaeus"
"Corythoichthys flavofasciatus"
"Doryrhamphus paulus"
"Dermochelys coriacea"
"Sterna paradisaea"
"Accipiter fasciatus"
"Trachyrhamphus bicoarcticus"
"Nettapus pulchellus"
"Hippocampus abdominalis"
"Lepidochelys olivacea"
"Motacilla flava"
"Macronectes halli"
"Microphis brachyurus"
"Fulmarus glacialoides"
"Manucodia keraudrenii"
"Thalassarche impavida"
"Corvus mellori"
"Neophema chrysogaster"
"Porzana tabuensis"
"Catharacta maccormicki"
"Porzana pusilla"
"Sterna bengalensis"
"Dicrurus bracteatus"
"Caretta caretta"
"Vanacampus poecilolaemus"
"Pterodroma incerta"
"Thalassarche eremita"
