"Sula dactylatra"
"Puffinus gavia"
"Tadorna radjah"
"Calonectris leucomelas"
"Corythoichthys conspicillatus"
"Thalassoica antarctica"
"Philomachus pugnax"
"Thalassarche nov. sp."
"Pachyptila turtur"
"Himantopus himantopus"
"Hydrophis caerulescens"
"Haliastur indus"
"Campichthys tricarinatus"
"Solenostomus paegnius"
"Dunckerocampus pessuliferus"
"Hydrophis coggeri"
"Hydrophasianus chirurgus"
"Urocampus carinirostris"
"Hippichthys parvicarinatus"
"Festucalex scalaris"
"Grallina cyanoleuca"
"Ardea intermedia"
"Pygoscelis adeliae"
"Phalacrocorax fuscescens"
"Todiramphus macleayii"
"Lobodon carcinophagus"
"Threskiornis spinicollis"
"Charadrius dubius"
"Campichthys galei"
"Hirundo neoxena"
"Aipysurus eydouxii"
"Steganopus tricolor"
"Hydrurga leptonyx"
"Lathamus discolor"
"Threskiornis aethiopica"
