"Anseranas semipalmata"
"Diomedea antipodensis"
"Calidris alpina"
"Diomedea exulans"
"Bulbonaricus brauni"
"Nettapus pulchellus"
"Stercorarius pomarinus"
"Solenostomus paegnius"
"Macronectes giganteus"
"Stercorarius parasiticus"
"Motacilla citreola"
"Podargus papuensis"
"Hypselognathus rostratus"
"Lepidochelys olivacea"
"Pandion haliaetus"
"Disteira kingii"
"Chrysococcyx russatus"
"Procelsterna cerulea"
"Diomedea dabbenena"
"Microphis brachyurus"
"Hydrophis elegans"
"Pitta erythrogaster"
"Aipysurus fuscus"
"Stipecampus cristatus"
"Charadrius asiaticus"
"Thalassarche salvini"
"Egretta garzetta"
"Choeroichthys brachysoma"
"Puffinus gavia"
"Sula sula"
"Dendrocygna arcuata"
"Campichthys galei"
"Cosmocampus howensis"
"Halicampus boothae"
"Calidris melanotos"
