"Spheniscus magellanicus"
"Hydrophis pacificus"
"Kimblaeus bassensis"
"Calidris subminuta"
"Zosterops lateralis"
"Aipysurus foliosquama"
"Chrysococcyx minutillus"
"Biziura lobata"
"Crocodylus porosus"
"Corythoichthys schultzi"
"Ptilinopus superbus"
"Xenus cinereus"
"Pterodroma neglecta"
"Hippichthys penicillus"
"Aipysurus duboisii"
"Pluvialis fulva"
"Haliastur indus"
"Thalassarche chrysostoma"
"Thinornis rubricollis"
"Arctocephalus pusillus doriferus"
"Scythrops novaehollandiae"
"Corythoichthys flavofasciatus"
"Noticampus ruber"
"Corythoichthys ocellatus"
"Fregata ariel"
"Ninox novaeseelandiae"
"Procellaria aequinoctialis"
"Corythoichthys paxtoni"
"Puffinus pacificus"
"Oceanodroma matsudairae"
"Calidris minuta"
"Arctocephalus gazella"
"Charadrius veredus"
"Corvus tasmanicus"
"Myiagra cyanoleuca"
