"Chlidonias niger"
"Chrysococcyx osculans"
"Hirundo neoxena"
"Puffinus huttoni"
"Pelagodroma marina"
"Procellaria aequinoctialis"
"Ducula concinna"
"Corythoichthys flavofasciatus"
"Calidris alba"
"Aptenodytes patagonicus"
"Petroica rodinogaster"
"Thalassarche steadi"
"Acalyptophis peronii"
"Todiramphus sanctus"
"Crocodylus johnstoni"
"Gallinago stenura"
"Monarcha melanopsis"
"Coracina papuensis"
"Vanacampus poecilolaemus"
"Cereopsis novaehollandiae"
"Thalassarche impavida"
"Catharacta maccormicki"
"Pelamis platurus"
"Tadorna radjah"
"Raillus philippensis"
"Puffinus carneipes"
"Hippichthys parvicarinatus"
"Arctocephalus tropicalus"
"Hydrophasianus chirurgus"
"Mitotichthys semistriatus"
"Zosterops lateralis"
"Leptoichthys fistularius"
"Festucalex scalaris"
"Pterodroma nigripennis"
"Stercorarius parasiticus"
