"Actitis hypoleucos"
"Chlidonias leucopterus"
"Acentronura breviperula"
"Sterna caspia"
"Corythoichthys paxtoni"
"Pygoscelis antarctica"
"Thalassarche nov. sp."
"Sterna bergii"
"Lugensa brevirostris"
"Larus sabini"
"Disteira major"
"Pugnaso curtirostris"
"Cacomantis flabelliformis"
"Tanysiptera sylvia"
"Nycticorax caledonicus"
"Sterna nilotica"
"Puffinus pacificus"
"Pachyptila turtur"
"Sterna sumatrana"
"Thalassarche salvini"
"Calidris melanotos"
"Hirundo rustica"
"Pterodroma inexpectata"
"Pterodroma mollis"
"Corythoichthys schultzi"
"Micrognathus natans"
"Limnodromus semipalmatus"
"Aipysurus apraefrontalis"
"Fregata andrewsi"
"Steganopus tricolor"
"Pagodroma nivea"
"Acrocephalus stentoreus"
"Chelonia mydas"
"Threskiornis spinicollis"
"Puffinus lherminieri"
