"species","lower","upper"
"Puffinus assimilis",7.59930697423576,7.97405303242811
"Hippocampus spinosissimus",9.26672939424759,10.3291062643079
"Phoxocampus diacanthus",11.0490953166766,12.2368556279402
"Calidris alpina",8.47605103491206,9.20522664631998
"Phalaropus lobatus",14.3044378984584,14.6665955375037
"Thalassarche salvini",9.15871466089224,9.29818002321572
"Neophema chrysogaster",19.4181169078429,20.3220567899668
"Sterna albifrons",8.88721252152102,9.14908004832826
"Motacilla flava",7.86320094328835,8.06452017413821
"Ixobrychus sinensis",13.9680706308468,14.3826386536658
"Doryrhamphus melanopleura",8.40792332137673,8.52076050357846
"Disteira kingii",15.9133694088396,16.2817870709018
"Procellaria cinerea",16.6229402529274,17.4598985018485
"Lissocampus fatiloquus",15.1052481214368,15.3662342637276
"Pterodroma cervicalis",15.0545084144537,15.9016897322886
"Hydrophis gracilis",19.1218388440892,19.5972413921113
"Merops ornatus",18.6830200867987,19.682585060436
"Procellaria parkinsoni",19.8429846865292,20.6118369867115
"Hydrophis pacificus",12.4889152731363,13.5835247306701
"Thalassarche steadi",14.5061953890766,15.6253892087462
"Monarcha trivirgatus",19.0756098212626,19.4007313262177
"Tadorna radjah",16.0620316333379,16.8482850190082
"Micrognathus pygmaeus",8.00111006834347,9.15785052918947
"Campichthys tricarinatus",12.0383676799461,12.6638330338121
"Eurostopodus argus",11.6227866480735,12.0437408039588
"Phycocedrus eque s",17.4629947872021,18.2951829772729
"Apus affinis",19.6127995828633,21.0310006603844
"Solenostomus armatus",13.5295785409993,14.4191319198671
"Thalassoica antarctica",11.2337322823237,12.0286560335593
"Hydrurga leptonyx",15.6096446060521,15.7526254338431
"Acentronura breviperula",7.54341265422653,8.28564378663008
"Eudyptes chrysolophus",8.09709719861397,8.38549867087361
"Thalassarche chrysostoma",6.61777443791609,7.27799246573835
"Caretta caretta",10.0196956448982,10.4828983604646
"Pterodroma mollis",10.3310385880674,10.8392818878191
