"species","lower","upper"
"Sterna dougallii",7.42135042091016,8.24775621909876
"Halicampus grayi",7.53738966215706,8.011636042565
"Oceanodroma leucorhoa",12.6778156127927,13.2834441926278
"Calidris alba",10.4447516469668,11.27537003008
"Macronectes halli",12.2035774418033,12.9814944771652
"Hippichthys cyanospilos",8.45514897276754,9.55652688146535
"Cuculus saturatus",16.3658676687573,16.6247685636192
"Solenostomus armatus",10.1629381223923,11.0311443416514
"Hydrophis mcdowelli",16.6081945564822,18.4179777641365
"Idiotropiscis larsonae",22.035213045956,23.7452916071063
"Corythoichthys amplexus",9.21247456315898,10.7314437539159
"Hypselognathus horridus",8.42170370285507,8.69870183044034
"Hydrelaps darwiniensis",11.7493642044016,11.8921654537803
"Aipysurus apraefrontalis",6.77580193190976,7.25072627546929
"Micrognathus micronotopterus",15.1052481214368,15.3662342637276
"Recurvirostra novaehollandiae",13.77182604667,14.0005136942211
"Rhipidura rufifrons",7.89347021409418,8.91216378959695
"Thalassarche chlororhynchos",6.74750881937061,6.99161475861243
"Phoebetria palpebrata",8.73249599947654,10.1821154568039
"Oceanites oceanicus",10.4821587568894,10.8843350793893
"Cacomantis flabelliformis",8.01411067495794,8.93827621506974
"Phalaropus fulicaria",19.2733514676096,20.2787133381968
"Larus novaehollandiae",16.9259228292004,17.4456482051162
"Pugnaso curtirostris",15.3224071321634,15.6860120693639
"Threskiornis aethiopica",10.586524713934,11.1650723277328
"Aipysurus fuscus",19.7209530517659,19.7702759328243
"Fregata ariel",5.89014883018561,6.07629344877483
"Puffinus carneipes",17.187037584686,17.374358207495
"Phylloscopus borealis",6.18756277448894,6.72958904869973
"Hippocampus kelloggi",17.5486547276733,18.2723187501784
"Pterodroma cookii",9.58277348847171,10.1361658325769
"Eudyptes chrysocome",11.2051261237172,12.0210941568239
"Hippichthys spicifer",14.4362573297214,14.9519822112408
"Hydrophis inornatus",11.4776575199509,11.7025818499247
"Eurostopodus mystacalis",10.3102475030818,10.4749639295601
