"Chrysococcyx basalis"
"Diomedea dabbenena"
"Micrognathus andersonii"
"Sula dactylatra"
"Arenaria interpres"
"Eudynamys taitensis"
"Corythoichthys intestinalis"
"Phoebastria immutabilis"
"Corythoichthys amplexus"
"Doryrhamphus janssi"
"Esacus neglectus"
"Steganopus tricolor"
"Hydrophis ornatus"
"Pterodroma macroptera"
"Aipysurus laevis"
"Vanacampus phillipi"
"Catharacta maccormicki"
"Phoxocampus diacanthus"
"Arctocephalus tropicalus"
"Grallina cyanoleuca"
"Sterna striata"
"Circus approximans"
"Hydrelaps darwiniensis"
"Arctocephalus gazella"
"Halicampus grayi"
"Phocarctos hookeri"
"Larus pacificus"
"Charadrius hiaticula"
"Phyllopteryx taeniolatus"
"Puffinus tenuirostris"
"Solegnathus dunckeri"
"Calidris canutus"
"Morus serrator"
"Coracina novaehollandiae"
"Halicampus brocki"
