"Neophema chrysostoma"
"Halicampus boothae"
"Phycocedrus eque s"
"Motacilla alba"
"Hypselognathus horridus"
"Pluvialis dominica"
"Histiogamphelus briggsi"
"Sterna nilotica"
"Stiltia isabella"
"Hippocampus zebra"
"Gorsachius melanolophus"
"Macronectes giganteus"
"Microphis brachyurus"
"Puffinus gravis"
"Vanacampus phillipi"
"Acrocephalus stentoreus"
"Anthus cervinus"
"Hippocampus breviceps"
"Corvus tasmanicus"
"Chlidonias niger"
"Micrognathus andersonii"
"Sterna bergii"
"Crex crex"
"Ephalophis greyi"
"Hippichthys heptagonus"
"Hippocampus fisheri"
"Crocodylus johnstoni"
"Syngnathoides biaculeatus"
"Solenostomus paegnius"
"Eudyptes robustus"
"Choeroichthys brachysoma"
"Calidris tenuirostris"
"Anthus novaeseelandiae"
"Idiotropiscis australe"
"Chrysococcyx basalis"
