Opponent,Home,Type,Opp_Score,WSU_Score,Diff_Score,Poss,Drive_Number,Spot,Down,Distance,Yards,Carrier,Passer,Completion,TD,FirstDown,INT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers,1,Kickoff,0,0,0,Rutgers,1,,,,20,,,,0,0,
Rutgers,1,Pass,7,0,-7,Rutgers,1,22,1,10,78,"Leonte Carroo","Gary Nova",1,1,0,0
Rutgers,1,Kickoff,7,0,-7,"Washington State",2,,,,19,,,,0,0,
Rutgers,1,Pass,7,0,-7,"Washington State",2,79,1,10,2,"River Cracraft","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,77,2,8,0,"Rickey Galvin","Connor Halliday",0,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,77,3,8,12,"River Cracraft","Connor Halliday",1,0,1,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,65,1,10,2,"Calvin Green","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,63,2,8,4,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,59,3,4,5,"Vince Mayle","Connor Halliday",1,0,1,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,54,1,10,0,,"Connor Halliday",0,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",2,54,2,10,0,,"Connor Halliday",0,0,0,1
Rutgers,1,Run,7,0,-7,Rutgers,3,38,1,10,3,"Paul James",,,0,0,
Rutgers,1,Run,7,0,-7,Rutgers,3,41,2,7,6,"Paul James",,,0,0,
Rutgers,1,Run,7,0,-7,Rutgers,3,47,3,1,3,"Paul James",,,0,1,
Rutgers,1,Run,7,0,-7,Rutgers,3,55,1,5,1,"Paul James",,,0,0,
Rutgers,1,Run,7,0,-7,Rutgers,3,56,2,4,8,"Paul James",,,0,1,
Rutgers,1,Pass,7,0,-7,Rutgers,3,64,1,10,0,"Tyler Kroft","Gary Nova",0,0,0,0
Rutgers,1,Pass,7,0,-7,Rutgers,3,64,2,10,0,"Janarion Grant","Gary Nova",0,0,0,0
Rutgers,1,Pass,7,0,-7,Rutgers,3,64,3,10,0,,"Gary Nova",0,0,0,0
Rutgers,1,Punt,7,0,-7,Rutgers,3,64,4,10,24,,,,0,0,
Rutgers,1,Run,7,0,-7,"Washington State",4,88,1,10,2,"Jamal Morrow",,,0,0,
Rutgers,1,Pass,7,0,-7,"Washington State",4,86,2,8,5,"Isiah Myers","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",4,81,3,3,52,"Rickey Galvin","Connor Halliday",1,0,1,0
Rutgers,1,Run,7,0,-7,"Washington State",4,14,1,10,-2,"Jamal Morrow",,,0,0,
Rutgers,1,Pass,7,0,-7,"Washington State",4,16,2,12,10,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",4,6,3,2,0,"Isiah Myers","Connor Halliday",0,0,0,0
Rutgers,1,Pass,7,0,-7,"Washington State",4,6,4,2,1,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,7,0,-7,Rutgers,5,6,1,10,9,,"Gary Nova",0,0,0,1
Rutgers,1,Pass,7,0,-7,"Washington State",6,2,1,2,0,"Isiah Myers","Connor Halliday",0,0,0,0
Rutgers,1,Sacked,7,0,-7,"Washington State",6,2,2,2,-5,,,,0,0,
