"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"Air Force Falcons","09/10/08","8:15am","Keith Williams","OL","Probable","Ankle","Williams is expected to play in week 3.",2008,"2008-09-10","MWC","n"
"Air Force Falcons","09/07/08","2:20pm","Jared Marvin","DL","Questionable","Knee","Marvin tore the ACL and MCL during spring practice and is still trying to get back to a healthy status. He practiced last week but missed the first two games of the season.",2008,"2008-09-07","MWC","n"
"Air Force Falcons","09/01/08","11:01am","Ty Paffett","WR","Out","Back","Paffett is still not close to full speed after two surgeries in the off-season. Sophomore Kyle Halderman started at WRZ in the season opener but Air Force didn't need to pass the ball as they rushed for over 400 yards.",2008,"2008-09-01","MWC","n"
"Air Force Falcons","09/01/08","10:53am","Travis Dekker","TE","Out","Ankle","Dekker had surgery to repair a fractured bone in his ankle and will miss at least the first four games of the season. Keith Madsen started the season opener and caught three passes, one for a TD.",2008,"2008-09-01","MWC","n"
"Air Force Falcons","09/18/08","8:23am","Stephen Larson","DL","Out","Knee","Larson injured his knee in Tuesday's practice and did not participate in Wednesday's practice. Coach Calhoun said he will not play Saturday against Utah. He also said it is not known if Larson will need surgery.",2008,"2008-09-18","MWC","n"
"Air Force Falcons","09/16/08","10:49am","Todd Newell","FB","Questionable","Ankle","Newell landed on the injured list due to a tweaked ankle in the Houston game and is questionable for week 4. Jared Tew filled in for Newell and performed admirably gaining 22 yards on 4 carries.",2008,"2008-09-16","MWC","n"
"Air Force Falcons","09/15/08","10:02am","Aaron Kirchoff","DB","Questionable","Shoulder","Kirchoff left the Houston game with a dinged up shoulder. Coach Calhoun wasn't sure what his status will be for Utah.",2008,"2008-09-15","MWC","n"
"Air Force Falcons","09/20/08","6:49am","Spencer Armstrong","WR","Out","Leg","Armstrong has a fractured fibula and will be out indefinitely. He suffered the injury late in last Saturday's game while recovering an onside kick. Head trainer Tony Peck said it is too early to determine whether Air Forces's top deep threat will be able to return this season.",2008,"2008-09-20","MWC","n"
"Air Force Falcons","10/01/08","9:37am","Ken Lamendola","LB","Questionable","Shoulder","Linebacker Ken Lamendola injured his left shoulder during practice and is questionable for Navy.",2008,"2008-10-01","MWC","n"
"Air Force Falcons","10/08/08","10:36am","Reggie Rembert","DB","Probable","Ankle","Rembert did not practice Tuesday because of a sprained right ankle but he said he should be ready to play Saturday against San Diego State. Rembert played offense, defense and special teams in the Falcons' first two games. Rembert has picked off one pass, broken up three others and recorded a sack on defense. He will no longer be used on kick returns now that previously injured teammates are healthy.",2008,"2008-10-08","MWC","n"
"Air Force Falcons","10/06/08","1:05pm","Kevin Folger","WR","Out","Knee","The backup wideout has been starting in place of injured senior Ty Paffet but is expected to miss at least three weeks with a knee injury. Folger leads the team in receptions and receiving yards. Paffet returned to the starting lineup in week six and will likely take on more of the receiving responsibilities for the Falcons.",2008,"2008-10-06","MWC","n"
"Air Force Falcons","10/14/08","2:49pm","Tim Jefferson","QB","Probable","Concussion/Head","Jefferson left the week 7 game after being stunned on a tackle and was replaced by senior QB Shea Smith who started the first 5 games of the season. When asked if Jefferson was the new starter, Calhoun said, ""He has to earn it every week. Both Tim and Shea are going to have to play as if they are both veteran players."" Jefferson has been upgraded to ""expected to be available"" for week 8.",2008,"2008-10-14","MWC","n"
"Air Force Falcons","10/23/08","8:48am","Jake Paulson","DL","Probable","Shoulder","Paulson has a slightly separated shoulder and didn't practice Sunday. His status for Thursday night's game has been upgraded to probable but limited. Paulson went into Saturday's game at UNLV leading the nation in sacks with 1.42 per game. He's gaining national recognition for his exploits. SportsIllustrated.com named him to its 2nd-team midseason All-America team and Paulson earned a spot on Phil Steele's 3rd-team midseason All-America team.",2008,"2008-10-23","MWC","n"
"Air Force Falcons","10/21/08","3:26pm","Jared Tew","FB","Doubtful","Shoulder","The backup fullback sat out week 8 and has been downgraded to doubtful for New Mexico.",2008,"2008-10-21","MWC","n"
"Air Force Falcons","11/17/08","11:37am","Patrick Hennessey","LB","Doubtful","Shoulder","Backup outside linebacker Hennessey has been downgraded to doubtful for TCU due to an injured shoulder. He has played in 10 Falcons games this year and has 18 tackles and 3 QB sacks.",2008,"2008-11-17","MWC","n"
"Air Force Falcons","11/17/08","11:37am","Peter Lusk","OL","Probable","Ankle","Junior guard Peter Lusk sprained his left ankle but returned to the BYU game. He is probable for TCU.",2008,"2008-11-17","MWC","n"
"Air Force Falcons","11/16/08","4:58pm","Brandon Reeves","LB","Questionable","Shoulder","Reeves missed the BYU game with a shoulder injury. The starting inside linebacker has 33 tackles this year. Justin Moore started in his place and had 5 tackles.",2008,"2008-11-16","MWC","n"
"Akron Zips","09/12/08","8:12am","Cowles Stewart","DL","Doubtful","Leg","The backup NT was injured in the last game and is doubtful for the Ball St. game.",2008,"2008-09-12","MAC","n"
"Akron Zips","09/08/08","8:57am","Joe Tuzze","RB","Questionable","Leg","Tuzze has yet to play a game this season and his status is completely unknown for week 3.",2008,"2008-09-08","MAC","n"
"Akron Zips","09/07/08","2:50pm","Ryan Bain","DL","Questionable","Foot","Bain missed the opener after being slowed by a foot injury and did not play against Syracuse either. Akron is short on the DL now with both starters hampered by injury.",2008,"2008-09-07","MAC","n"
"Akron Zips","08/31/08","5:29pm","Eric Lively","DL","Out","Elbow","The Zips' starting DT is out for three weeks with an elbow injury.  Look for Hasan Hazime to start in his place until the DT is ready to go.",2008,"2008-08-31","MAC","n"
