row.names x y z
1 0.45 0.21 6.46
2 0.32 0.2 5.78
3 0.36 0.54 8.85
4 0.77 0.42 4.14
5 0.76 0.83 8.28
6 0.69 0.48 2.64
7 0.15 0.94 6.99
8 0.01 0.83 5.92
9 0.09 0.32 7.04
10 0.72 0.57 4.68
11 0.39 0.29 9.5
12 0.94 0.41 5.56
13 0.9 0.52 4.22
14 0.88 0.54 5.18
15 0.37 0.29 9.38
16 0.41 0.69 8.2
17 0.8 0.27 8.01
18 0.56 0.04 2.61
19 0.26 0.83 5.81
20 0.76 0.45 3.58
21 0.42 0.14 4.34
22 0.56 0.95 6.93
23 0.71 0.46 1.77
24 0.03 0.31 6.11
25 0.86 0.98 7.65
26 0.12 0.39 8.52
27 0.07 0.91 8.32
28 0.11 0.75 10.36
29 0.19 0.69 9
30 0.52 0.1 4.34
31 0.6 0.85 12.37
32 0.75 0.84 8.08
33 0.74 0.83 8.17
34 0.8 0.44 5.52
35 0.89 0.59 3.94
36 0.42 0.01 5.38
37 0.25 0.34 8.34
38 0.38 0.25 7.53
39 0.7 0.07 3.32
40 0.84 0.35 9.38
41 0.9 0.18 5.97
42 0.8 0.39 5.6
43 0.51 0.87 10.69
44 0.98 0.82 9.47
45 0.11 0.55 9.77
46 0.15 0.74 9.88
47 0.03 0.91 6.17
48 0.66 0.74 6.49
49 0.22 0.26 9.73
50 0.72 0.48 1.19
51 0.94 0.4 6.08
52 0.28 0.29 9.21
53 0.11 0.82 8.85
54 0.71 0.63 2.41
55 0.16 0.66 9.06
56 0.49 0.02 2.12
57 0.9 0.02 5.93
58 0.37 0.68 8.08
59 0.23 0.68 8.16
